id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
936,2023-01-26 12:33:53.761921,6.2,3.4,5.4,2.3,2
935,2023-01-26 12:33:52.736372,5.0,3.3,1.4,0.2,0
934,2023-01-26 12:33:51.707999,4.5,2.3,1.3,0.3,0
933,2023-01-26 12:33:50.686236,6.5,3.0,5.5,1.8,2
932,2023-01-26 12:33:49.667615,5.8,4.0,1.2,0.2,0
931,2023-01-26 12:33:48.644281,4.4,3.2,1.3,0.2,0
930,2023-01-26 12:33:47.629597,6.4,3.2,5.3,2.3,2
929,2023-01-26 12:33:46.609823,4.7,3.2,1.3,0.2,0
928,2023-01-26 12:33:45.584129,6.7,2.5,5.8,1.8,2
927,2023-01-26 12:33:44.566708,5.4,3.0,4.5,1.5,1
926,2023-01-26 12:33:43.546951,7.2,3.6,6.1,2.5,2
925,2023-01-26 12:33:42.526154,6.4,3.2,4.5,1.5,1
924,2023-01-26 12:33:41.510183,5.9,3.0,5.1,1.8,2
923,2023-01-26 12:33:40.488839,5.0,3.0,1.6,0.2,0
922,2023-01-26 12:33:39.465510,6.0,2.9,4.5,1.5,1
921,2023-01-26 12:33:38.445074,4.7,3.2,1.3,0.2,0
920,2023-01-26 12:33:37.430926,4.7,3.2,1.6,0.2,0
919,2023-01-26 12:33:36.412846,6.4,3.2,4.5,1.5,1
918,2023-01-26 12:33:35.379470,6.5,2.8,4.6,1.5,1
917,2023-01-26 12:33:34.361458,5.6,3.0,4.1,1.3,1
916,2023-01-26 12:33:33.337667,4.7,3.2,1.3,0.2,0
915,2023-01-26 12:33:32.329168,6.2,2.2,4.5,1.5,1
914,2023-01-26 12:33:31.309558,6.4,2.7,5.3,1.9,2
913,2023-01-26 12:33:30.285342,6.9,3.1,5.1,2.3,2
